area_type,availability,location,size,society,total_sqft,bath,balcony,price,imagePath,email,address,contact_number
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,660,1,1,23.1,/House_Pics/27.jpg,geykztjo@zmpyn.com,5  Elm Street  electroniccity  Bangalore - 560100,8635464794
Built-up  Area,20-Dec,Whitefield,3 BHK,No Society,1610,3,2,81,/House_Pics/28.jpg,uosreote@ppiei.com,92  First Avenue  whitefield  Bangalore - 560066,9782466049
Super built-up  Area,17-Oct,Ramagondanahalli,2 BHK,ViistLa,1151,2,2,48.77,/House_Pics/29.jpg,mfrdgave@utccj.com,41  Main Street  mekhricircle  Bangalore - 560006,8678522990
Super built-up  Area,Ready To Move,Electronic City,3 BHK,KBityo ,1025,2,1,47,/House_Pics/30.jpg,eizguajk@fdmwx.com,31  Park Avenue  electroniccity  Bangalore - 560100,8087328383
Super built-up  Area,19-Dec,Yelahanka,4 BHK,LedorSa,2100,4,0,186,/House_Pics/31.jpg,veaiypxy@cddjv.com,53  First Avenue  yelahanka  Bangalore - 560064,8291811637
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2,1,35,/House_Pics/32.jpg,eptpgnpc@ijmzn.com,54  Park Avenue  electroniccity  Bangalore - 560100,9170943687
Super built-up  Area,Ready To Move,Hebbal,3 BHK,Mahosya,1760,2,2,123,/House_Pics/33.jpg,fobjkivv@imuxh.com,6  Main Street  hebbal  Bangalore - 560024,9460231595
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1693,3,3,57.39,/House_Pics/34.jpg,cmkpawjh@xqirw.com,32  Elm Street  hebbal  Bangalore - 560024,9085371804
Built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,Kantsce,1925,3,0,125,/House_Pics/35.jpg,nupbmmpj@ovqgt.com,5  First Avenue  whitefield  Bangalore - 560066,8811463651
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,PrarePa,700,2,1,36,/House_Pics/36.jpg,dispanrw@dsbik.com,25  First Avenue  yelahanka  Bangalore - 560064,9843174570
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,No Society,1070,2,1,45.5,/House_Pics/37.jpg,hhczgutl@fjyik.com,92  Elm Street  electroniccity  Bangalore - 560100,9037507136
Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,Dieldli,1724,3,2,125,/House_Pics/38.jpg,rifiqsxh@ozpdj.com,76  Second Road  electroniccity  Bangalore - 560100,9836520136
Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,No Society,1290,2,2,56.12,/House_Pics/39.jpg,rxnyduzl@kdlbs.com,55  Elm Street  yelahanka  Bangalore - 560064,8478049819
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,No Society,1143,2,2,45,/House_Pics/40.jpg,kvgraulm@siotn.com,92  Second Road  yelahanka  Bangalore - 560064,8343389900
Built-up  Area,Ready To Move,Murugeshpalya,2 BHK,Gentson,1296,2,0,81,/House_Pics/41.jpg,ngxqnarc@brvrd.com,23  First Avenue  electroniccity  Bangalore - 560100,8662653139
Super built-up  Area,19-Dec,Sarjapur  Road,3 BHK,Soini T,1254,3,2,38,/House_Pics/42.jpg,zgztyhck@cnbho.com,38  First Avenue  yelahanka  Bangalore - 560064,9454649329
Super built-up  Area,Ready To Move,Ganga Nagar,1 BHK,Ceove G,600,1,0,38,/House_Pics/43.jpg,oebzhpmn@igfib.com,3  Elm Street  btm  Bangalore - 560076,8273102150
Plot  Area,Ready To Move,Yelahanka,1 Bedroom,No Society,660,1,0,48,/House_Pics/44.jpg,pabnmfgz@evfrh.com,95  Elm Street  yelahanka  Bangalore - 560064,8424848989
Super built-up  Area,19-Sep,Kanakpura Road,2 BHK,Soazak ,1330,2,2,91.79,/House_Pics/45.jpg,cypcjqsy@ykvfo.com,82  Second Road  btm  Bangalore - 560076,9807193719
Plot  Area,Ready To Move,HSR Layout,8 Bedroom,No Society,600,9,0,200,/House_Pics/46.jpg,epdlcnue@hgbhs.com,27  Park Avenue  btm  Bangalore - 560076,8885739781
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,LancyRe,970,2,0,33,/House_Pics/47.jpg,fsipbemq@rioqi.com,75  Main Street  hebbal  Bangalore - 560024,8880476615
Super built-up  Area,20-Sep,Whitefield,2 BHK,Goted U,1459,2,1,94.82,/House_Pics/48.jpg,onawnkdl@bchvy.com,17  Elm Street  whitefield  Bangalore - 560066,9867152440
Plot  Area,Ready To Move,KR Puram,2 Bedroom,No Society,800,1,1,130,/House_Pics/49.jpg,cpacxijp@ssrmu.com,39  First Avenue  btm  Bangalore - 560076,9052968771
Built-up  Area,Ready To Move,Himagiri Meadows,2 BHK,No Society,869,2,1,36,/House_Pics/50.jpg,biaiggyw@artle.com,87  Park Avenue  yelahanka  Bangalore - 560064,9665481979
Super built-up  Area,Ready To Move,Adarsh Nagar,2 BHK,Bhncyis,1270,2,1,50,/House_Pics/51.jpg,pkhdecbd@buajk.com,4  First Avenue  yelahanka  Bangalore - 560064,9892317556
Super built-up  Area,18-Mar,Bhoganhalli,3 BHK,Rosha I,1670,3,1,99,/House_Pics/52.jpg,mogmzkjx@nhnaw.com,75  Elm Street  mekhricircle  Bangalore - 560006,8710228024
Built-up  Area,Ready To Move,Whitefield,3 BHK,Suent V,2010,3,2,91,/House_Pics/53.jpg,yvssynei@rfcpd.com,52  Park Avenue  whitefield  Bangalore - 560066,9191095523
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1185,2,2,75,/House_Pics/54.jpg,knzfneyh@fogul.com,15  First Avenue  mekhricircle  Bangalore - 560006,8699158960
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,NCowsar,1600,2,3,75,/House_Pics/55.jpg,yreaqhks@rmblj.com,60  Main Street  yelahanka  Bangalore - 560064,8235155012
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200,2,2,44,/House_Pics/56.jpg,mkwjcmaw@azdns.com,48  First Avenue  electroniccity  Bangalore - 560100,8115668167
Built-up  Area,20-Feb,Devanahalli,4 Bedroom,BrereAt,3010,0,0,192,/House_Pics/57.jpg,qjwqxscj@wpeec.com,29  First Avenue  whitefield  Bangalore - 560066,9460632685
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,2 BHK,PeBayle,1500,2,2,185,/House_Pics/58.jpg,jvtmydlb@qohpt.com,86  Elm Street  btm  Bangalore - 560076,9383707841
Plot  Area,Ready To Move,Murugeshpalya,6 Bedroom,No Society,1407,4,1,150,/House_Pics/59.jpg,daglbhga@utuwo.com,57  Elm Street  electroniccity  Bangalore - 560100,9697479184
Super built-up  Area,Ready To Move,Govindaraja Nagar Ward,2 BHK,No Society,840,2,2,45,/House_Pics/60.jpg,zxeeteor@nmwlj.com,30  Second Road  mekhricircle  Bangalore - 560006,8573035757
Plot  Area,Ready To Move,Tharabanahalli,3 Bedroom,No Society,4395,3,2,240,/House_Pics/61.jpg,znzgxcqu@jspiy.com,39  First Avenue  mekhricircle  Bangalore - 560006,8501112206
Super built-up  Area,Ready To Move,Ganga Nagar,2 BHK,Laavevi,845,2,1,55,/House_Pics/62.jpg,cnbrfgxd@pblkv.com,49  First Avenue  mekhricircle  Bangalore - 560006,8405439776
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Chranya,5700,5,3,650,/House_Pics/63.jpg,eoqtagct@izrsy.com,41  Main Street  whitefield  Bangalore - 560066,8882586896
Built-up  Area,Ready To Move,Varthur,2 BHK,HioraTr,1160,2,2,44,/House_Pics/64.jpg,kqyiovwb@auykt.com,45  First Avenue  hebbal  Bangalore - 560024,8256621888
Built-up  Area,Ready To Move,Bommanahalli,8 Bedroom,No Society,3000,8,0,140,/House_Pics/65.jpg,oecbuonz@atvxp.com,24  Elm Street  btm  Bangalore - 560076,9110827260
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,No Society,1100,2,1,62,/House_Pics/66.jpg,vlxwpbve@mmmiu.com,15  Second Road  electroniccity  Bangalore - 560100,8663332941
Super built-up  Area,18-Apr,Gunjur,2 BHK,BMineis,1140,2,3,43,/House_Pics/67.jpg,jqmktnmt@ndqno.com,24  Park Avenue  yelahanka  Bangalore - 560064,8962236019
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,No Society,1220,2,1,57,/House_Pics/68.jpg,nwqsourp@xsgno.com,43  Main Street  electroniccity  Bangalore - 560100,8556618931
Plot  Area,Ready To Move,Devarachikkanahalli,8 Bedroom,No Society,1350,7,0,85,/House_Pics/69.jpg,qriwipdx@sdhsq.com,21  First Avenue  btm  Bangalore - 560076,9856016909
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,No Society,1005,2,1,36.68,/House_Pics/70.jpg,yatdmvyh@dqjow.com,33  Main Street  btm  Bangalore - 560076,9697627992
Plot  Area,Ready To Move,Double Road,3 Bedroom,No Society,500,3,2,100,/House_Pics/71.jpg,axszoeai@ynlca.com,59  First Avenue  mekhricircle  Bangalore - 560006,9702946833
Super built-up  Area,20-Aug,Begur Road,2 BHK,Pruthg ,1358,2,1,80.58,/House_Pics/72.jpg,unvvqvrd@ampma.com,9  Park Avenue  mekhricircle  Bangalore - 560006,9530709956
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,Sonosty,1569,3,1,101,/House_Pics/73.jpg,fvytinou@rhkbi.com,50  Second Road  hebbal  Bangalore - 560024,9659647384
Super built-up  Area,18-Apr,Haralur Road,2 BHK,SNnia E,1240,2,1,70,/House_Pics/74.jpg,chblatut@tpvbv.com,81  Main Street  whitefield  Bangalore - 560066,8712513167
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Anavi B,2089,3,2,140,/House_Pics/75.jpg,vwdmwoue@ffsdx.com,44  Second Road  yelahanka  Bangalore - 560064,8692964780
Super built-up  Area,Ready To Move,Kothannur,2 BHK,No Society,1206,2,1,48.23,/House_Pics/76.jpg,kpdmzpib@xkeau.com,86  First Avenue  yelahanka  Bangalore - 560064,8503024822
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,No Society,1150,2,3,40,/House_Pics/77.jpg,dehtgwth@txeqx.com,25  Second Road  yelahanka  Bangalore - 560064,8604378145
Built-up  Area,Ready To Move,Cholanayakanahalli,3 BHK,Viony H,2511,3,3,205,/House_Pics/78.jpg,umnagepq@cadea.com,79  Second Road  electroniccity  Bangalore - 560100,9515061261
Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,No Society,460,1,0,22,/House_Pics/79.jpg,rqvgqqmy@xmuve.com,3  Main Street  hebbal  Bangalore - 560024,8305515899
Built-up  Area,Ready To Move,ISRO Layout,6 Bedroom,No Society,4400,6,3,250,/House_Pics/80.jpg,xhamluhh@hhfjs.com,49  Park Avenue  btm  Bangalore - 560076,9276013094
Super built-up  Area,Ready To Move,Kodanda Reddy Layout,3 BHK,AdentEl,1660,2,2,105,/House_Pics/81.jpg,liuuvlxp@ocvhs.com,2  Main Street  whitefield  Bangalore - 560066,8317149415
Built-up  Area,18-Oct,Hennur Road,4 Bedroom,Gollela,2957,0,0,224.5,/House_Pics/0.jpg,lgeqklhf@lrnfl.com,54  Elm Street  mekhricircle  Bangalore - 560006,8818577403
Super built-up  Area,19-Mar,Yelahanka,2 BHK,Niareum,1326,2,2,78,/House_Pics/1.jpg,iwdodiqq@pzjdj.com,10  Second Road  yelahanka  Bangalore - 560064,8194515998
Super built-up  Area,Ready To Move,Garudachar Palya,3 BHK,No Society,1325,2,2,60.8,/House_Pics/2.jpg,omtrahhn@wqmcx.com,71  Main Street  hebbal  Bangalore - 560024,8631446211
Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,SJlynro,1499,5,2,102,/House_Pics/3.jpg,yeqjcifs@bkgmu.com,53  Elm Street  yelahanka  Bangalore - 560064,8812446754
Built-up  Area,Ready To Move,Hegde Nagar,6 Bedroom,No Society,3000,7,2,210,/House_Pics/4.jpg,biueylcr@lsbrx.com,40  First Avenue  yelahanka  Bangalore - 560064,9478537428
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,No Society,1665,3,2,88,/House_Pics/5.jpg,kosxhwfl@jtwax.com,67  Main Street  mekhricircle  Bangalore - 560006,9874180526
Super built-up  Area,17-Sep,Dasanapura,2 BHK,Tavenew,708,2,2,37,/House_Pics/6.jpg,kkypxmfi@zztxb.com,47  First Avenue  hebbal  Bangalore - 560024,8786318449
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,Srire S,1060,2,2,58.06,/House_Pics/7.jpg,myajyyus@eedlw.com,71  Second Road  electroniccity  Bangalore - 560100,9467967669
Plot  Area,Ready To Move,Rajaji Nagar,6 Bedroom,No Society,710,6,3,160,/House_Pics/8.jpg,rbeoxzwn@mktvi.com,51  Second Road  mekhricircle  Bangalore - 560006,8168277130
Built-up  Area,Ready To Move,Sanjay nagar,2 BHK,Saenti ,1000,2,2,70,/House_Pics/9.jpg,ityueiub@fcwjo.com,67  Second Road  hebbal  Bangalore - 560024,9443743278
Super built-up  Area,18-Dec,Electronic City,2 BHK,No Society,1000,2,1,28.88,/House_Pics/10.jpg,jdqhyyvc@dxdkf.com,63  Elm Street  electroniccity  Bangalore - 560100,8169782865
Super built-up  Area,Ready To Move, Mysore Highway,3 BHK,No Society,1450,2,2,70,/House_Pics/11.jpg,ynsvjzow@jhgqj.com,63  Park Avenue  electroniccity  Bangalore - 560100,8219495521
Plot  Area,Ready To Move,ISRO Layout,4 Bedroom,No Society,1200,4,2,155,/House_Pics/12.jpg,iostsvtp@gdrny.com,14  Elm Street  yelahanka  Bangalore - 560064,9618465345
Super built-up  Area,17-Aug,Thanisandra,2 BHK,Bhmesy ,1296,2,3,80,/House_Pics/13.jpg,asnfmefc@vkadq.com,59  First Avenue  mekhricircle  Bangalore - 560006,8317381436
Super built-up  Area,Ready To Move,Domlur,3 BHK,No Society,1540,3,2,90,/House_Pics/14.jpg,outwiacf@mogkz.com,63  First Avenue  btm  Bangalore - 560076,8030808290
Plot  Area,Ready To Move,Kengeri,4 Bedroom,Goardth,2894,4,1,245,/House_Pics/15.jpg,annvnsim@hoghu.com,98  First Avenue  electroniccity  Bangalore - 560100,8705126581
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3 BHK,No Society,1330,2,1,48,/House_Pics/16.jpg,hlcjlgdi@cnunk.com,65  Park Avenue  whitefield  Bangalore - 560066,9391070880
Built-up  Area,Ready To Move,Devasthanagalu,2 BHK,No Society,1200,2,1,65,/House_Pics/17.jpg,elzkkjyl@eedyr.com,40  Main Street  btm  Bangalore - 560076,8602201638
Built-up  Area,Ready To Move,T Dasarahalli,3 Bedroom,No Society,1200,3,1,90,/House_Pics/18.jpg,mwhjasuy@bhpsz.com,26  Elm Street  mekhricircle  Bangalore - 560006,8726615351
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,2502,3,3,138,/House_Pics/19.jpg,kkgvjims@tgvmo.com,76  Elm Street  yelahanka  Bangalore - 560064,9457092922
Built-up  Area,Ready To Move,Chandapura,2 BHK,KHityry,650,1,1,17,/House_Pics/20.jpg,nhxvkfjs@ydpae.com,8  Second Road  yelahanka  Bangalore - 560064,9674835173
Plot  Area,Ready To Move,Kothanur,3 Bedroom,BDensar,2400,2,1,150,/House_Pics/21.jpg,nyewyvrf@gfqhy.com,78  First Avenue  whitefield  Bangalore - 560066,8484010864
Super built-up  Area,Ready To Move,Green View Layout,2 BHK,Makeser,1007,2,2,43,/House_Pics/22.jpg,jbtahsjc@fjpkq.com,85  Second Road  yelahanka  Bangalore - 560064,9205718669
Super built-up  Area,Ready To Move,Shantiniketan Layout,2 BHK,Maest N,1200,2,2,50,/House_Pics/23.jpg,jqyxltlp@duyta.com,86  Main Street  mekhricircle  Bangalore - 560006,8714780810
Super built-up  Area,Ready To Move,Peenya,2 BHK,No Society,966,2,2,49.9,/House_Pics/24.jpg,guqepoxw@pnnrz.com,86  Park Avenue  yelahanka  Bangalore - 560064,9451173270
Built-up  Area,Ready To Move,Nagarbhavi,3 BHK,No Society,1630,2,1,98,/House_Pics/25.jpg,wisjbiqd@ddfye.com,40  Elm Street  whitefield  Bangalore - 560066,9584857573
Built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,1640,3,2,229,/House_Pics/26.jpg,tfqgaybe@lksyj.com,20  Second Road  btm  Bangalore - 560076,8053508674
Built-up  Area,Ready To Move,Jalahalli West,2 BHK,No Society,782,2,2,55.68,/House_Pics/27.jpg,goepsivj@yrmjf.com,96  Second Road  mekhricircle  Bangalore - 560006,9508526603
Super built-up  Area,19-Apr,Devanahalli,2 BHK,Oznuean,1260,2,2,66.78,/House_Pics/28.jpg,qzrehgzt@kuwde.com,61  Elm Street  btm  Bangalore - 560076,8252003018
Super built-up  Area,Ready To Move,Lakshmiamma Garden,3 BHK,No Society,1800,3,3,120,/House_Pics/29.jpg,pndrhuvz@wqxiq.com,43  Main Street  whitefield  Bangalore - 560066,8894700101
Super built-up  Area,Ready To Move,Byatarayanapura,3 BHK,Reeroce,1413,2,2,75,/House_Pics/30.jpg,huvknepq@ezebw.com,23  Park Avenue  electroniccity  Bangalore - 560100,9477034775
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sonviik,1116,2,1,51.91,/House_Pics/31.jpg,cvjddflh@cprhm.com,13  Main Street  whitefield  Bangalore - 560066,8259924908
Super built-up  Area,Ready To Move,Electronic City,3 BHK,DSgmax ,1530,2,1,45.9,/House_Pics/32.jpg,knqopufj@hsktj.com,95  Elm Street  electroniccity  Bangalore - 560100,9689147087
Built-up  Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,No Society,3700,4,1,225,/House_Pics/33.jpg,xwfouwty@ilesu.com,95  Main Street  electroniccity  Bangalore - 560100,8147913758
Built-up  Area,Ready To Move,Sarjapur  Road,3 Bedroom,Cetattu,2497,3,2,140,/House_Pics/34.jpg,flhwsmky@ryscr.com,2  Park Avenue  whitefield  Bangalore - 560066,9699634688
Super built-up  Area,Ready To Move,Kengeri,3 BHK,Vaens G,1540,2,3,64,/House_Pics/35.jpg,qfzohzeo@xmdog.com,82  Main Street  yelahanka  Bangalore - 560064,8172059638
Super built-up  Area,18-Dec,Thanisandra,3 BHK,No Society,1436,3,1,74.75,/House_Pics/36.jpg,beotyqkh@sbscq.com,5  Main Street  hebbal  Bangalore - 560024,8616585461
Super built-up  Area,18-Jun,Malleshwaram,2 BHK,No Society,1100,2,2,75,/House_Pics/37.jpg,ggoowfku@xvltv.com,75  Park Avenue  yelahanka  Bangalore - 560064,8367588369
Plot  Area,Ready To Move,Hennur Road,2 Bedroom,No Society,276,3,3,23,/House_Pics/38.jpg,yyspsvjq@xtpyn.com,82  Elm Street  hebbal  Bangalore - 560024,8486948715
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Moity S,1427,3,2,120,/House_Pics/39.jpg,rjeipcus@pkvor.com,72  Park Avenue  btm  Bangalore - 560076,9125408748
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,HiahsLa,2061,3,1,200,/House_Pics/40.jpg,whbxyqiw@zirvh.com,100  Main Street  mekhricircle  Bangalore - 560006,9132636332
Super built-up  Area,18-Mar,Hebbal,4 BHK,SNontle,3067,4,0,477,/House_Pics/41.jpg,ibttjlvd@fpxcr.com,9  First Avenue  hebbal  Bangalore - 560024,9767999438
Built-up  Area,Ready To Move,Shampura,4 BHK,No Society,2650,4,2,150,/House_Pics/42.jpg,ykgctdvv@awlim.com,85  Park Avenue  mekhricircle  Bangalore - 560006,8647877993
Super built-up  Area,22-Dec,Devanahalli,3 BHK,Sabixtt,1282,2,2,68.52,/House_Pics/43.jpg,qwicxick@vhmif.com,18  Second Road  electroniccity  Bangalore - 560100,9387218170
Built-up  Area,Ready To Move,Kadugodi,2 BHK,No Society,1050,2,1,34,/House_Pics/44.jpg,pspdbavm@wrwas.com,48  Park Avenue  whitefield  Bangalore - 560066,8251538600
Built-up  Area,Ready To Move,LB Shastri Nagar,3 BHK,Sragei ,1600,3,2,65,/House_Pics/45.jpg,bcdojoxp@nytsp.com,47  Second Road  mekhricircle  Bangalore - 560006,8920694740
Super built-up  Area,22-Jan,Vajarahalli,2 BHK,No Society,945,2,1,54,/House_Pics/46.jpg,bqgiymxn@hvttv.com,1  First Avenue  electroniccity  Bangalore - 560100,9019811664
Super built-up  Area,Ready To Move,Hormavu,2 BHK,SyidaCr,1500,2,1,78,/House_Pics/47.jpg,qwdrhckz@nigzh.com,74  First Avenue  mekhricircle  Bangalore - 560006,9849341797
Plot  Area,Ready To Move,Vishwapriya Layout,7 Bedroom,No Society,950,7,0,115,/House_Pics/48.jpg,ituxinwl@dfwgm.com,25  Second Road  electroniccity  Bangalore - 560100,9099166548
Built-up  Area,Ready To Move,Peenya,3 BHK,Jahts H,1870,3,3,110,/House_Pics/49.jpg,rdbuxwqo@vpbzj.com,9  Second Road  whitefield  Bangalore - 560066,9239454549
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Inensba,1600,3,1,75,/House_Pics/50.jpg,skdvbjbk@xaziu.com,30  Main Street  yelahanka  Bangalore - 560064,8584386655
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,880,1,1,16.5,/House_Pics/51.jpg,xkcjgihq@muvjt.com,73  Elm Street  electroniccity  Bangalore - 560100,9264821971
Plot  Area,Ready To Move,Ramaswamy Palya - Kammanahalli Main Road,4 Bedroom,No Society,1200,4,0,210,/House_Pics/52.jpg,hxmnbxem@ghpft.com,61  Elm Street  electroniccity  Bangalore - 560100,8770061876
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,Srier P,1535,3,2,83,/House_Pics/53.jpg,gmhogcei@yjptl.com,90  Elm Street  whitefield  Bangalore - 560066,8931292637
Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Wiowsri,950,2,1,57,/House_Pics/54.jpg,sdggsgln@wxhxr.com,55  Main Street  hebbal  Bangalore - 560024,8782691072
Super built-up  Area,18-Aug,Devanahalli,2 BHK,Derdsig,1360,2,1,65,/House_Pics/55.jpg,dbnfazpw@nptxo.com,19  First Avenue  btm  Bangalore - 560076,9939660728
Super built-up  Area,19-Mar,8th Phase JP Nagar,2 BHK,Vaarech,1042,2,0,54.005,/House_Pics/56.jpg,fqbfeumv@yhjmi.com,34  First Avenue  electroniccity  Bangalore - 560100,8727309212
